,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3797,Luis Muriel,Centre-Forward,24,Udinese,Serie_A,Sampdoria,Serie_A,2015,10.0,12.0
3798,Chicharito,Centre-Forward,27,Manchester United,EPL,Bayer Leverkusen,Bundesliga,2015,10.0,12.0
3799,Chancel Mbemba,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Newcastle United,EPL,2015,8.0,12.0
3800,Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue_1,Aston Villa,EPL,2015,6.0,12.0
3801,Rony Lopes,Right Winger,19,Manchester City,EPL,Monaco,Ligue_1,2015,4.5,12.0
3803,Wahbi Khazri,Attacking Midfield,24,Bordeaux,Ligue_1,Sunderland,EPL,2015,7.5,11.8
3804,Allan,Central Midfield,24,Udinese,Serie_A,Napoli,Serie_A,2015,11.5,11.5
3805,Fabian Delph,Central Midfield,25,Aston Villa,EPL,Manchester City,EPL,2015,10.0,11.5
3806,Jeremain Lens,Right Winger,27,Dynamo Kyiv,Premier Liga,Sunderland,EPL,2015,12.0,11.4
3807,Tyrone Mings,Centre-Back,22,Ipswich,Championship,Bournemouth,EPL,2015,6.0,11.3
3808,James Chester,Centre-Back,26,Hull,Championship,West Bromwich Albion,EPL,2015,2.0,11.3
3809,Gonzalo Castro,Central Midfield,28,Bayer Leverkusen,Bundesliga,Borussia Dortmund,Bundesliga,2015,14.0,11.0
3810,Asmir Begovic,Goalkeeper,28,Stoke,EPL,Chelsea,EPL,2015,12.0,11.0
3811,Ciro Immobile,Centre-Forward,25,Borussia Dortmund,Bundesliga,Sevilla,La_liga,2015,10.0,11.0
3812,Angelo Ogbonna,Centre-Back,27,Juventus,Serie_A,West Ham,EPL,2015,9.0,11.0
3813,Kevin Kampl,Central Midfield,24,Borussia Dortmund,Bundesliga,Bayer Leverkusen,Bundesliga,2015,9.0,11.0
3814,Shinji Okazaki,Centre-Forward,29,Mainz 05,Bundesliga,Leicester,EPL,2015,8.0,11.0
3816,Steven Naismith,Right Winger,29,Everton,EPL,Norwich,EPL,2015,5.0,11.0
3817,Jemerson,Centre-Back,23,AtlÃ©tico-MG,SÃ©rie A,Monaco,Ligue_1,2015,5.0,11.0
3820,Jordan Amavi,Left-Back,21,Nice,Ligue_1,Aston Villa,EPL,2015,4.0,11.0
3821,Timm Klose,Centre-Back,27,Wolfsburg,Bundesliga,Norwich,EPL,2015,3.0,11.0
3823,Fabio Borini,Left Winger,24,Liverpool,EPL,Sunderland,EPL,2015,7.0,10.7
3824,Abdoulaye DoucourÃ©,Central Midfield,23,Rennes,Ligue_1,Watford,EPL,2015,6.0,10.6
3825,Adalberto PeÃ±aranda,Centre-Forward,18,Udinese,Serie_A,Watford,EPL,2015,0.5,10.6
3826,Johannes Geis,Defensive Midfield,21,Mainz 05,Bundesliga,Schalke 04,Bundesliga,2015,11.0,10.5
3827,Ricardo Ãlvarez,Attacking Midfield,27,Inter,Serie_A,Sunderland,EPL,2015,10.0,10.5
3829,Dusan Basta,Right-Back,30,Udinese,Serie_A,Lazio,Serie_A,2015,5.5,10.5
3830,Domenico Berardi,Right Winger,20,Juventus,Serie_A,Sassuolo,Serie_A,2015,17.5,10.0
3831,Serge Aurier,Right-Back,22,Toulouse,Ligue_1,Paris Saint Germain,Ligue_1,2015,10.0,10.0
3832,Josip Drmic,Centre-Forward,22,Bayer Leverkusen,Bundesliga,Borussia M.Gladbach,Bundesliga,2015,8.0,10.0
3833,Jordan Veretout,Central Midfield,22,FC Nantes,Ligue_1,Aston Villa,EPL,2015,8.0,10.0
3834,Max Gradel,Left Winger,27,Saint-Etienne,Ligue_1,Bournemouth,EPL,2015,6.5,10.0
3835,Connor Wickham,Centre-Forward,22,Sunderland,EPL,Crystal Palace,EPL,2015,5.0,10.0
3836,Adama TraorÃ©,Right Winger,19,FC Barcelona B,2Âª B - Grupo III,Aston Villa,EPL,2015,5.0,10.0
3837,Santi Mina,Centre-Forward,19,Celta Vigo,La_liga,Valencia,La_liga,2015,4.0,10.0
3839,Robbie Brady,Left Midfield,23,Hull,Championship,Norwich,EPL,2015,2.0,9.9
3841,Matija Nastasic,Centre-Back,22,Manchester City,EPL,Schalke 04,Bundesliga,2015,14.0,9.5
3842,Kevin Trapp,Goalkeeper,25,Eintracht Frankfurt,Bundesliga,Paris Saint Germain,Ligue_1,2015,8.0,9.5
3843,Aderllan Santos,Centre-Back,26,Braga,Liga NOS,Valencia,La_liga,2015,7.5,9.5
3844,Alberto Paloschi,Centre-Forward,26,Chievo Verona,Serie_A,Swansea,EPL,2015,6.0,9.5
3845,Michail Antonio,Right Winger,25,Nottm Forest,Championship,West Ham,EPL,2015,2.5,9.5
3846,Mapou Yanga-Mbiwa,Centre-Back,26,Roma,Serie_A,Lyon,Ligue_1,2015,6.5,9.4
3848,Lewis Grabban,Centre-Forward,28,Norwich,EPL,Bournemouth,EPL,2015,3.0,9.35
3850,Gabriel Boschilia,Left Winger,19,SÃ£o Paulo,SÃ©rie A,Monaco,Ligue_1,2015,3.0,9.06
3851,Bastian Schweinsteiger,Central Midfield,30,Bayern Munich,Bundesliga,Manchester United,EPL,2015,22.0,9.0
3852,Idrissa Gueye,Central Midfield,25,Lille,Ligue_1,Aston Villa,EPL,2015,7.5,9.0
3854,N'Golo KantÃ©,Defensive Midfield,24,SM Caen,Ligue_1,Leicester,EPL,2015,4.5,9.0
3855,Guido Carrillo,Centre-Forward,24,Estudiantes,Primera DivisiÃ³n,Monaco,Ligue_1,2015,3.2,9.0
3856,Ã‰tienne Capoue,Defensive Midfield,27,Tottenham,EPL,Watford,EPL,2015,7.5,8.9
3859,JosÃ© Manuel Jurado,Attacking Midfield,29,Spartak Moscow,Premier Liga,Watford,EPL,2015,7.0,8.6
3860,Benjamin Stambouli,Centre-Back,24,Tottenham,EPL,Paris Saint Germain,Ligue_1,2015,5.0,8.6
3861,Andrea Bertolacci,Central Midfield,24,Genoa,Serie_A,Roma,Serie_A,2015,15.0,8.5
3862,Mattia Destro,Centre-Forward,24,Roma,Serie_A,Bologna,Serie_A,2015,13.0,8.5
3864,Joshua Kimmich,Right-Back,20,VfB Stuttgart,Bundesliga,Bayern Munich,Bundesliga,2015,5.0,8.5
3865,Rudy Gestede,Centre-Forward,26,Blackburn,Championship,Aston Villa,EPL,2015,3.5,8.5
3866,Nordin Amrabat,Left Winger,28,MÃ¡laga CF,La_liga,Watford,EPL,2015,6.0,8.4
3867,Matej Vydra,Centre-Forward,23,Udinese,Serie_A,Watford,EPL,2015,5.5,8.4
3868,Andrea Belotti,Centre-Forward,21,Palermo,Serie_A,Torino,Serie_A,2015,5.0,8.4
3869,Danny Ings,Centre-Forward,22,Burnley,Championship,Liverpool,EPL,2015,12.0,8.3
3870,Jonny Evans,Centre-Back,27,Manchester United,EPL,West Bromwich Albion,EPL,2015,6.0,8.3
3871,Obbi Oulare,Centre-Forward,19,Club Brugge,Jupiler Pro League,Watford,EPL,2015,5.0,8.23
3873,RaÃºl GarcÃ­a,Attacking Midfield,29,Atletico Madrid,La_liga,Athletic Club,La_liga,2015,15.0,8.0
3874,Thorgan Hazard,Left Winger,22,Chelsea,EPL,Borussia M.Gladbach,Bundesliga,2015,10.0,8.0
3876,Fernando,Defensive Midfield,23,Shakhtar D.,Premier Liga,Sampdoria,Serie_A,2015,9.0,8.0
3877,Luiz Adriano,Centre-Forward,28,Shakhtar D.,Premier Liga,AC Milan,Serie_A,2015,8.5,8.0
3878,Jeison Murillo,Centre-Back,23,Granada CF,La_liga,Inter,Serie_A,2015,8.0,8.0
3879,Samu GarcÃ­a,Right Winger,24,MÃ¡laga CF,La_liga,Villarreal,La_liga,2015,7.5,8.0
3881,Samu Castillejo,Right Winger,20,MÃ¡laga CF,La_liga,Villarreal,La_liga,2015,7.5,8.0
3882,Steven Nzonzi,Defensive Midfield,26,Stoke,EPL,Sevilla,La_liga,2015,7.5,8.0
3884,MatÃ­as Kranevitter,Defensive Midfield,22,River Plate,Primera DivisiÃ³n,Atletico Madrid,La_liga,2015,7.0,8.0
3885,Joselu,Centre-Forward,25,Hannover 96,Bundesliga,Stoke,EPL,2015,6.0,8.0
3886,Admir Mehmedi,Second Striker,24,Freiburg,2.Bundesliga,Bayer Leverkusen,Bundesliga,2015,6.0,8.0
3887,Kenedy,Left Midfield,19,Fluminense,SÃ©rie A,Chelsea,EPL,2015,6.0,8.0
3889,Jonas Hofmann,Right Winger,23,Borussia Dortmund,Bundesliga,Borussia M.Gladbach,Bundesliga,2015,4.0,8.0
3890,Alberto Grassi,Central Midfield,20,Atalanta,Serie_A,Napoli,Serie_A,2015,2.0,8.0
3891,Rolando Mandragora,Central Midfield,18,Genoa,Serie_A,Juventus,Serie_A,2015,2.0,8.0
3894,Lucas Ocampos,Left Winger,20,Monaco,Ligue_1,Marseille,Ligue_1,2015,6.5,7.5
3895,Jonathan Tah,Centre-Back,19,Hamburger SV,Bundesliga,Bayer Leverkusen,Bundesliga,2015,6.0,7.5
3896,CÃ©dric Bakambu,Centre-Forward,24,Bursaspor,SÃ¼per Lig,Villarreal,La_liga,2015,5.5,7.5
3897,Robert Beric,Centre-Forward,24,Rapid Vienna,Bundesliga,Saint-Etienne,Ligue_1,2015,3.0,7.5
3901,Jonathas,Centre-Forward,26,Elche CF,LaLiga2,Real Sociedad,La_liga,2015,6.0,7.2
3902,Patrick Roberts,Right Winger,18,Fulham,Championship,Manchester City,EPL,2015,2.5,7.2
3905,CÃ©dric Soares,Right-Back,23,Sporting CP,Liga NOS,Southampton,EPL,2015,9.5,7.0
3907,Iago Falque,Right Winger,26,Genoa,Serie_A,Roma,Serie_A,2015,8.0,7.0
3908,GÃ¶khan Inler,Defensive Midfield,31,Napoli,Serie_A,Leicester,EPL,2015,7.5,7.0
3911,Juanmi,Right Winger,22,MÃ¡laga CF,La_liga,Southampton,EPL,2015,7.0,7.0
3912,Mathew Ryan,Goalkeeper,23,Club Brugge,Jupiler Pro League,Valencia,La_liga,2015,7.0,7.0
3914,Vlad Chiriches,Centre-Back,25,Tottenham,EPL,Napoli,Serie_A,2015,6.0,7.0
3915,GrÃ©goire Defrel,Centre-Forward,24,RC Cesena,Serie B,Sassuolo,Serie_A,2015,6.0,7.0
3917,Marko Grujic,Central Midfield,19,Red Star,SuperLiga,Liverpool,EPL,2015,3.0,7.0
3918,Oriol Romeu,Defensive Midfield,23,Chelsea,EPL,Southampton,EPL,2015,2.5,7.0
3919,Yohan Benalouane,Centre-Back,28,Atalanta,Serie_A,Leicester,EPL,2015,1.3,7.0
3923,Ã‰der,Centre-Forward,27,Braga,Liga NOS,Swansea,EPL,2015,6.0,6.7
3925,Daniel Amartey,Defensive Midfield,21,FC Copenhagen,Superligaen,Leicester,EPL,2015,3.0,6.6
3929,Kyriakos Papadopoulos,Centre-Back,23,Schalke 04,Bundesliga,Bayer Leverkusen,Bundesliga,2015,7.5,6.5
3930,Lewis Holtby,Attacking Midfield,24,Tottenham,EPL,Hamburger SV,Bundesliga,2015,4.0,6.5
3932,Steven Berghuis,Right Winger,23,AZ Alkmaar,Eredivisie,Watford,EPL,2015,3.5,6.5
3933,Sidnei,Centre-Back,25,Benfica,Liga NOS,Deportivo La Coruna,La_liga,2015,3.0,6.5
3934,Lamine KonÃ©,Centre-Back,27,FC Lorient,Ligue_1,Sunderland,EPL,2015,2.5,6.5
3939,Mathieu Valbuena,Left Winger,30,Dinamo Moscow,Premier Liga,Lyon,Ligue_1,2015,11.5,6.0
3941,Franco Di Santo,Centre-Forward,26,Werder Bremen,Bundesliga,Schalke 04,Bundesliga,2015,8.5,6.0
3942,Aaron Lennon,Right Winger,28,Tottenham,EPL,Everton,EPL,2015,8.5,6.0
3943,Pedro Obiang,Central Midfield,23,Sampdoria,Serie_A,West Ham,EPL,2015,8.0,6.0
3944,Fabinho,Defensive Midfield,21,Rio Ave FC,Liga NOS,Monaco,Ligue_1,2015,8.0,6.0
3945,Kiko Casilla,Goalkeeper,28,Espanyol,La_liga,Real Madrid,La_liga,2015,7.5,6.0
3946,Kevin Wimmer,Centre-Back,22,FC Cologno,Bundesliga,Tottenham,EPL,2015,7.5,6.0
3948,Eduardo Vargas,Centre-Forward,25,Napoli,Serie_A,Hoffenheim,Bundesliga,2015,6.0,6.0
3950,Gerard Deulofeu,Right Winger,21,Barcelona,La_liga,Everton,EPL,2015,6.0,6.0
3951,Claudio Beauvue,Centre-Forward,27,Guingamp,Ligue_1,Lyon,Ligue_1,2015,5.0,6.0
3952,Bernard Mensah,Attacking Midfield,20,Vit. GuimarÃ£es,Liga NOS,Atletico Madrid,La_liga,2015,4.0,6.0
3953,Iago Aspas,Right Winger,27,Liverpool,EPL,Sevilla,La_liga,2015,4.0,6.0
3954,Daniele Baselli,Central Midfield,23,Atalanta,Serie_A,Torino,Serie_A,2015,3.8,6.0
3955,GaÃ«l Kakuta,Left Winger,24,Chelsea,EPL,Sevilla,La_liga,2015,3.5,6.0
3956,Leandro Paredes,Defensive Midfield,21,Boca Juniors,Primera DivisiÃ³n,Roma,Serie_A,2015,3.5,6.0
3958,Henri Saivet,Attacking Midfield,25,Bordeaux,Ligue_1,Newcastle United,EPL,2015,2.5,6.0
3961,Paul Pogba,Central Midfield,23,Juventus,Serie_A,Manchester United,EPL,2016,70.0,105.0
3962,Gonzalo HiguaÃ­n,Centre-Forward,28,Napoli,Serie_A,Juventus,Serie_A,2016,65.0,90.0
3965,John Stones,Centre-Back,22,Everton,EPL,Manchester City,EPL,2016,28.0,55.6
3966,Leroy SanÃ©,Left Winger,20,Schalke 04,Bundesliga,Manchester City,EPL,2016,30.0,50.5
3967,Granit Xhaka,Defensive Midfield,23,Borussia M.Gladbach,Bundesliga,Arsenal,EPL,2016,25.0,45.0
3968,Henrikh Mkhitaryan,Attacking Midfield,27,Borussia Dortmund,Bundesliga,Manchester United,EPL,2016,30.0,42.0
3969,Sadio ManÃ©,Left Winger,24,Southampton,EPL,Liverpool,EPL,2016,20.0,41.2
3970,Shkodran Mustafi,Centre-Back,24,Valencia,La_liga,Arsenal,EPL,2016,20.0,41.0
3971,JoÃ£o MÃ¡rio,Attacking Midfield,23,Sporting CP,Liga NOS,Inter,Serie_A,2016,30.0,40.0
3972,Julian Draxler,Central Midfield,23,Wolfsburg,Bundesliga,Paris Saint Germain,Ligue_1,2016,28.0,40.0
3973,Michy Batshuayi,Centre-Forward,22,Marseille,Ligue_1,Chelsea,EPL,2016,15.0,39.0
3974,Eric Bailly,Centre-Back,22,Villarreal,La_liga,Manchester United,EPL,2016,8.0,38.0
3975,AndrÃ© Gomes,Central Midfield,22,Valencia,La_liga,Barcelona,La_liga,2016,30.0,37.0
3976,N'Golo KantÃ©,Defensive Midfield,25,Leicester,EPL,Chelsea,EPL,2016,20.0,35.8
3977,Mats Hummels,Centre-Back,27,Borussia Dortmund,Bundesliga,Bayern Munich,Bundesliga,2016,32.0,35.0
3978,David Luiz,Centre-Back,29,Paris Saint Germain,Ligue_1,Chelsea,EPL,2016,28.0,35.0
3979,Moussa Sissoko,Central Midfield,27,Newcastle United,Championship,Tottenham,EPL,2016,13.0,35.0
3980,Renato Sanches,Central Midfield,18,Benfica,Liga NOS,Bayern Munich,Bundesliga,2016,10.0,35.0
3981,Miralem Pjanic,Central Midfield,26,Roma,Serie_A,Juventus,Serie_A,2016,35.0,32.0
3982,Gabriel Jesus,Centre-Forward,19,Palmeiras,SÃ©rie A,Manchester City,EPL,2016,16.0,32.0
3983,Arkadiusz Milik,Centre-Forward,22,AFC Ajax,Eredivisie,Napoli,Serie_A,2016,12.0,32.0
3984,Christian Benteke,Centre-Forward,25,Liverpool,EPL,Crystal Palace,EPL,2016,27.0,31.2
3985,Islam Slimani,Centre-Forward,28,Sporting CP,Liga NOS,Leicester,EPL,2016,22.0,30.5
3986,Ãlvaro Morata,Centre-Forward,23,Juventus,Serie_A,Real Madrid,La_liga,2016,30.0,30.0
3987,Paco AlcÃ¡cer,Centre-Forward,23,Valencia,La_liga,Barcelona,La_liga,2016,25.0,30.0
3988,KÃ©vin Gameiro,Centre-Forward,29,Sevilla,La_liga,Atletico Madrid,La_liga,2016,20.0,30.0
3989,AndrÃ© SchÃ¼rrle,Left Winger,25,Wolfsburg,Bundesliga,Borussia Dortmund,Bundesliga,2016,18.0,30.0
3990,GonÃ§alo Guedes,Left Winger,20,Benfica,Liga NOS,Paris Saint Germain,Ligue_1,2016,9.0,30.0
3991,Gabriel Barbosa,Second Striker,20,Santos FC,SÃ©rie A,Inter,Serie_A,2016,20.0,29.5
3992,Dimitri Payet,Attacking Midfield,29,West Ham,EPL,Marseille,Ligue_1,2016,30.0,29.3
3993,Yannick Bolasie,Left Winger,27,Crystal Palace,EPL,Everton,EPL,2016,14.0,28.9
3994,Grzegorz Krychowiak,Defensive Midfield,26,Sevilla,La_liga,Paris Saint Germain,Ligue_1,2016,30.0,27.5
3995,Georginio Wijnaldum,Central Midfield,25,Newcastle United,Championship,Liverpool,EPL,2016,20.0,27.5
3996,Ilkay GÃ¼ndogan,Central Midfield,25,Borussia Dortmund,Bundesliga,Manchester City,EPL,2016,30.0,27.0
3997,Nico GaitÃ¡n,Left Winger,28,Benfica,Liga NOS,Atletico Madrid,La_liga,2016,30.0,25.0
3998,Samuel Umtiti,Centre-Back,22,Lyon,Ligue_1,Barcelona,La_liga,2016,15.0,25.0
3999,JesÃ©,Left Winger,23,Real Madrid,La_liga,Paris Saint Germain,Ligue_1,2016,14.0,25.0
4000,AndrÃ© Ayew,Left Winger,26,Swansea,EPL,West Ham,EPL,2016,18.0,24.1
4001,Ezequiel Garay,Centre-Back,29,Zenit S-Pb,Premier Liga,Valencia,La_liga,2016,20.0,24.0
4002,Naby KeÃ¯ta,Central Midfield,21,RB Salzburg,Bundesliga,RasenBallsport Leipzig,Bundesliga,2016,11.0,24.0
4004,Marcos Alonso,Left-Back,25,Fiorentina,Serie_A,Chelsea,EPL,2016,9.0,23.0
4005,Marko Pjaca,Left Winger,21,Dinamo Zagreb,1.HNL,Juventus,Serie_A,2016,8.0,23.0
4006,Morgan Schneiderlin,Defensive Midfield,27,Manchester United,EPL,Everton,EPL,2016,28.0,22.9
4007,Breel Embolo,Centre-Forward,19,FC Basel,Super League,Schalke 04,Bundesliga,2016,20.0,22.5
4008,Vincent Janssen,Centre-Forward,22,AZ Alkmaar,Eredivisie,Tottenham,EPL,2016,6.0,22.1
4009,Mario GÃ¶tze,Attacking Midfield,24,Bayern Munich,Bundesliga,Borussia Dortmund,Bundesliga,2016,35.0,22.0
4010,Antonio Candreva,Right Winger,29,Lazio,Serie_A,Inter,Serie_A,2016,23.0,22.0
4013,Kevin Volland,Centre-Forward,23,Hoffenheim,Bundesliga,Bayer Leverkusen,Bundesliga,2016,17.0,20.0
4014,Didier Ndong,Central Midfield,22,FC Lorient,Rel. Ligue 1,Sunderland,EPL,2016,5.0,20.0
4015,Ahmed Musa,Centre-Forward,23,CSKA Moscow,Premier Liga,Leicester,EPL,2016,18.0,19.5
4016,Mattia Caldara,Centre-Back,22,Atalanta,Serie_A,Juventus,Serie_A,2016,8.0,19.0
4017,Sofiane Boufal,Attacking Midfield,22,Lille,Ligue_1,Southampton,EPL,2016,13.0,18.7
4018,JoaquÃ­n Correa,Left Winger,21,Sampdoria,Serie_A,Sevilla,La_liga,2016,6.5,18.2
4019,Claudio Bravo,Goalkeeper,33,Barcelona,La_liga,Manchester City,EPL,2016,15.0,18.0
4020,Nolito,Left Winger,29,Celta Vigo,La_liga,Manchester City,EPL,2016,15.0,18.0
4021,Aleksandar Dragovic,Centre-Back,25,Dynamo Kyiv,Premier Liga,Bayer Leverkusen,Bundesliga,2016,15.0,18.0
4022,Leonardo Pavoletti,Centre-Forward,28,Genoa,Serie_A,Napoli,Serie_A,2016,13.0,18.0
4023,Jordon Ibe,Right Winger,20,Liverpool,EPL,Bournemouth,EPL,2016,7.0,18.0
4025,Borja BastÃ³n,Centre-Forward,23,Atletico Madrid,La_liga,Swansea,EPL,2016,5.0,18.0
4027,Wilfred Ndidi,Defensive Midfield,20,KRC Genk,Jupiler Pro League,Leicester,EPL,2016,8.0,17.6
4028,Manolo Gabbiadini,Centre-Forward,25,Napoli,Serie_A,Southampton,EPL,2016,15.0,17.0
4029,Franco VÃ¡zquez,Attacking Midfield,27,Palermo,Serie_A,Sevilla,La_liga,2016,15.0,16.8
4030,Gerson,Right Winger,19,Fluminense,SÃ©rie A,Roma,Serie_A,2016,6.0,16.6
4031,Lucas Digne,Left-Back,22,Paris Saint Germain,Ligue_1,Barcelona,La_liga,2016,12.0,16.5
4032,Memphis Depay,Left Winger,22,Manchester United,EPL,Lyon,Ligue_1,2016,25.0,16.0
4034,Sime Vrsaljko,Right-Back,24,Sassuolo,Serie_A,Atletico Madrid,La_liga,2016,13.0,16.0
4035,Andros Townsend,Right Winger,24,Newcastle United,Championship,Crystal Palace,EPL,2016,9.0,15.6
4036,Joe Allen,Central Midfield,26,Liverpool,EPL,Stoke,EPL,2016,8.0,15.5
4037,Nampalys Mendy,Defensive Midfield,24,Nice,Ligue_1,Leicester,EPL,2016,7.5,15.5
4038,Ryan Mason,Central Midfield,25,Tottenham,EPL,Hull,EPL,2016,7.5,15.4
4040,Nacer Chadli,Left Winger,27,Tottenham,EPL,West Bromwich Albion,EPL,2016,13.0,15.2
4041,Oliver Burke,Right Winger,19,Nottm Forest,Championship,RasenBallsport Leipzig,Bundesliga,2016,0.25,15.2
4042,Robbie Brady,Left Midfield,25,Norwich,Championship,Burnley,EPL,2016,8.0,15.1
4043,Luka Milivojevic,Defensive Midfield,25,Olympiacos,Super League,Crystal Palace,EPL,2016,8.0,15.1
4044,Mohamed Salah,Right Winger,24,Chelsea,EPL,Roma,Serie_A,2016,20.0,15.0
4045,Christoph Kramer,Defensive Midfield,25,Bayer Leverkusen,Bundesliga,Borussia M.Gladbach,Bundesliga,2016,12.0,15.0
4046,Ousmane DembÃ©lÃ©,Right Winger,19,Rennes,Ligue_1,Borussia Dortmund,Bundesliga,2016,12.0,15.0
4048,Pierre-Emile HÃ¶jbjerg,Central Midfield,20,Bayern Munich,Bundesliga,Southampton,EPL,2016,6.0,15.0
4049,Djibril SidibÃ©,Right-Back,23,Lille,Ligue_1,Monaco,Ligue_1,2016,4.0,15.0
4050,Isaac Success,Left Winger,20,Granada CF,La_liga,Watford,EPL,2016,3.0,15.0
4053,Amadou Diawara,Defensive Midfield,19,Bologna,Serie_A,Napoli,Serie_A,2016,11.0,14.5
4054,Victor Wanyama,Defensive Midfield,25,Southampton,EPL,Tottenham,EPL,2016,15.0,14.4
4056,Lucas PÃ©rez,Centre-Forward,27,Deportivo La Coruna,La_liga,Arsenal,EPL,2016,12.0,14.0
4057,Piotr Zielinski,Central Midfield,22,Udinese,Serie_A,Napoli,Serie_A,2016,12.0,14.0
4058,Filip Kostic,Left Winger,23,VfB Stuttgart,2.Bundesliga,Hamburger SV,Bundesliga,2016,10.0,14.0
4059,Ashley Williams,Centre-Back,31,Swansea,EPL,Everton,EPL,2016,8.0,14.0
4060,Timo Werner,Centre-Forward,20,VfB Stuttgart,2.Bundesliga,RasenBallsport Leipzig,Bundesliga,2016,8.0,14.0
4061,Saido Berahino,Centre-Forward,23,West Bromwich Albion,EPL,Stoke,EPL,2016,15.0,13.9
4062,Jeffrey Schlupp,Left-Back,24,Leicester,EPL,Crystal Palace,EPL,2016,8.0,13.8
4063,Roberto Soriano,Left Winger,25,Sampdoria,Serie_A,Villarreal,La_liga,2016,14.0,13.75
4064,Leon Bailey,Left Winger,19,KRC Genk,Jupiler Pro League,Bayer Leverkusen,Bundesliga,2016,12.5,13.5
4065,Stevan Jovetic,Centre-Forward,27,Manchester City,EPL,Inter,Serie_A,2016,10.0,13.5
4066,Nathan Redmond,Left Winger,22,Norwich,Championship,Southampton,EPL,2016,7.5,13.5
4067,Stephan El Shaarawy,Left Winger,23,AC Milan,Serie_A,Roma,Serie_A,2016,17.0,13.0
4068,Roberto Pereyra,Attacking Midfield,25,Juventus,Serie_A,Watford,EPL,2016,16.0,13.0
4069,Nicola Sansone,Left Winger,24,Sassuolo,Serie_A,Villarreal,La_liga,2016,12.0,13.0
4070,Jasper Cillessen,Goalkeeper,27,AFC Ajax,Eredivisie,Barcelona,La_liga,2016,12.0,13.0
4071,Benjamin Mendy,Left-Back,21,Marseille,Ligue_1,Monaco,Ligue_1,2016,6.5,13.0
4072,Yannick Gerhardt,Left-Back,22,FC Cologno,Bundesliga,Wolfsburg,Bundesliga,2016,4.5,13.0
4075,Yunus Malli,Attacking Midfield,24,Mainz 05,Bundesliga,Wolfsburg,Bundesliga,2016,10.0,12.5
4076,Jannik Vestergaard,Centre-Back,23,Werder Bremen,Bundesliga,Borussia M.Gladbach,Bundesliga,2016,7.0,12.5
4078,Riechedly Bazoer,Defensive Midfield,20,AFC Ajax,Eredivisie,Wolfsburg,Bundesliga,2016,15.0,12.0
4079,Manuel Lanzini,Attacking Midfield,23,Al-Jazira,UAE Gulf League,West Ham,EPL,2016,9.0,12.0
4080,RaphaÃ«l Guerreiro,Left-Back,22,FC Lorient,Rel. Ligue 1,Borussia Dortmund,Bundesliga,2016,9.0,12.0
4081,Sebastian Rode,Central Midfield,25,Bayern Munich,Bundesliga,Borussia Dortmund,Bundesliga,2016,8.0,12.0
4085,Robert Snodgrass,Right Winger,29,Hull,EPL,West Ham,EPL,2016,5.0,12.0
4089,Jeff Hendrick,Central Midfield,24,Derby,Championship,Burnley,EPL,2016,1.5,11.8
4090,James Tomkins,Centre-Back,27,West Ham,EPL,Crystal Palace,EPL,2016,6.0,11.7
4091,Jeffrey Bruma,Centre-Back,24,PSV Eindhoven,Eredivisie,Wolfsburg,Bundesliga,2016,7.75,11.5
4093,Jake Livermore,Defensive Midfield,27,Hull,EPL,West Bromwich Albion,EPL,2016,4.5,11.5
4095,Edin Dzeko,Centre-Forward,30,Manchester City,EPL,Roma,Serie_A,2016,18.0,11.0
4097,Kamil Glik,Centre-Back,28,Torino,Serie_A,Monaco,Ligue_1,2016,10.0,11.0
4098,Georges-Kevin N'Koudou,Left Winger,21,Marseille,Ligue_1,Tottenham,EPL,2016,7.0,11.0
4099,Andrej Kramaric,Centre-Forward,25,Leicester,EPL,Hoffenheim,Bundesliga,2016,5.0,11.0
4103,Cristian Ansaldi,Left-Back,29,Genoa,Serie_A,Inter,Serie_A,2016,6.0,10.5
4104,Patrick van Aanholt,Left-Back,26,Sunderland,EPL,Crystal Palace,EPL,2016,6.0,10.5
4105,Marten de Roon,Central Midfield,25,Atalanta,Serie_A,Middlesbrough,EPL,2016,5.0,10.5
4109,Dennis Praet,Central Midfield,22,RSC Anderlecht,Jupiler Pro League,Sampdoria,Serie_A,2016,9.0,10.0
4111,Giovani Lo Celso,Central Midfield,20,CA Rosario,Primera DivisiÃ³n,Paris Saint Germain,Ligue_1,2016,7.5,10.0
4112,Lorenzo Tonelli,Centre-Back,26,Empoli,Serie_A,Napoli,Serie_A,2016,5.5,10.0
4113,Dayot Upamecano,Centre-Back,18,RB Salzburg,Bundesliga,RasenBallsport Leipzig,Bundesliga,2016,5.0,10.0
4115,Josip Brekalo,Left Winger,18,Dinamo Zagreb,1.HNL,Wolfsburg,Bundesliga,2016,1.0,10.0
4117,Ã‰der,Second Striker,29,Sampdoria,Serie_A,Inter,Serie_A,2016,12.0,9.8
4118,Mario Lemina,Defensive Midfield,22,Marseille,Ligue_1,Juventus,Serie_A,2016,4.0,9.8
4119,Emre Mor,Left Winger,18,Nordsjaelland,Superligaen,Borussia Dortmund,Bundesliga,2016,1.0,9.75
4121,Ganso,Attacking Midfield,26,SÃ£o Paulo,SÃ©rie A,Sevilla,La_liga,2016,9.0,9.5
