,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3702,Adil Rami,Centre-Back,28,Valencia,La_liga,AC Milan,Serie_A,2014,8.0,4.25
3703,Carles Gil,Right Winger,22,Valencia,La_liga,Aston Villa,EPL,2014,6.0,4.2
3710,Valentin Stocker,Attacking Midfield,25,FC Basel,Super League,Hertha Berlin,Bundesliga,2014,7.0,4.0
3712,Esteban Granero,Central Midfield,27,Queens Park Rangers,EPL,Real Sociedad,La_liga,2014,5.0,4.0
3713,Kevin De Bruyne,Attacking Midfield,24,Wolfsburg,Bundesliga,Manchester City,EPL,2015,45.0,76.0
3714,Raheem Sterling,Right Winger,20,Liverpool,EPL,Manchester City,EPL,2015,40.0,63.7
3715,Ãngel Di MarÃ­a,Right Winger,27,Manchester United,EPL,Paris Saint Germain,Ligue_1,2015,50.0,63.0
3716,Anthony Martial,Left Winger,19,Monaco,Ligue_1,Manchester United,EPL,2015,8.0,60.0
3718,Christian Benteke,Centre-Forward,24,Aston Villa,EPL,Liverpool,EPL,2015,20.0,46.5
3719,NicolÃ¡s Otamendi,Centre-Back,27,Valencia,La_liga,Manchester City,EPL,2015,25.0,44.6
3720,Julian Draxler,Central Midfield,21,Schalke 04,Bundesliga,Wolfsburg,Bundesliga,2015,22.0,43.0
3722,Roberto Firmino,Second Striker,23,Hoffenheim,Bundesliga,Liverpool,EPL,2015,25.0,41.0
3723,Paulo Dybala,Second Striker,21,Palermo,Serie_A,Juventus,Serie_A,2015,28.0,40.0
3724,Arturo Vidal,Central Midfield,28,Juventus,Serie_A,Bayern Munich,Bundesliga,2015,42.0,37.5
3725,Jackson MartÃ­nez,Centre-Forward,28,FC Porto,Liga NOS,Atletico Madrid,La_liga,2015,35.0,37.1
3726,Geoffrey Kondogbia,Central Midfield,22,Monaco,Ligue_1,Inter,Serie_A,2015,16.0,36.0
3727,Morgan Schneiderlin,Defensive Midfield,25,Southampton,EPL,Manchester United,EPL,2015,28.0,35.0
3728,Arda Turan,Left Winger,28,Atletico Madrid,La_liga,Barcelona,La_liga,2015,35.0,34.0
3729,Memphis Depay,Left Winger,21,PSV Eindhoven,Eredivisie,Manchester United,EPL,2015,28.0,34.0
3730,Danilo,Right-Back,23,FC Porto,Liga NOS,Real Madrid,La_liga,2015,25.0,31.5
3731,Mateo Kovacic,Central Midfield,21,Inter,Serie_A,Real Madrid,La_liga,2015,22.0,31.0
3732,Carlos Bacca,Centre-Forward,28,Sevilla,La_liga,AC Milan,Serie_A,2015,25.0,30.0
3733,Douglas Costa,Right Winger,24,Shakhtar D.,Premier Liga,Bayern Munich,Bundesliga,2015,23.0,30.0
3734,Rodrigo,Centre-Forward,24,Benfica,Liga NOS,Valencia,La_liga,2015,18.0,30.0
3735,Heung-min Son,Left Winger,23,Bayer Leverkusen,Bundesliga,Tottenham,EPL,2015,16.0,30.0
3737,Ãlvaro Negredo,Centre-Forward,29,Manchester City,EPL,Valencia,La_liga,2015,18.0,28.0
3738,Pedro,Left Winger,28,Barcelona,La_liga,Chelsea,EPL,2015,20.0,27.0
3739,Alex Sandro,Left-Back,24,FC Porto,Liga NOS,Juventus,Serie_A,2015,20.0,26.0
3740,Stefan Savic,Centre-Back,24,Fiorentina,Serie_A,Atletico Madrid,La_liga,2015,15.0,25.0
3741,Layvin Kurzawa,Left-Back,22,Monaco,Ligue_1,Paris Saint Germain,Ligue_1,2015,10.0,25.0
3742,Alessio Romagnoli,Centre-Back,20,Roma,Serie_A,AC Milan,Serie_A,2015,8.5,25.0
